match_id,date,event_name,batting_team,bowling_team,venue,city,day,month,year,season,gender,toss_winner,toss_decision,player_of_match,match_won_by,win_outcome,result_type,method,superover_winner,event_match_no,stage,inn1_runs,inn1_wickets,inn1_balls,inn1_balls_faced,inn2_runs,inn2_wickets,inn2_balls,inn2_balls_faced,inn1_pp_runs,inn2_pp_runs,inn1_death_runs,inn2_death_runs,inn1_pp_wickets,inn2_pp_wickets,inn1_run_rate,inn2_run_rate,inn1_pp_run_rate,inn2_pp_run_rate,team1_won,toss_winner_bat_first,toss_winner_field,venue_avg_score,team1_recent_win_pct,team2_recent_win_pct,team1_cum_win_pct,team2_cum_win_pct,team1_matches,team2_matches
335982,2008-04-18,Indian Premier League,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,Royal Challengers Bangalore,field,BB McCullum,Kolkata Knight Riders,140 runs,,,,1,Unknown,222,0,120,120,82.0,0.0,91.0,91.0,61,26.0,64.0,0.0,1.0,4.0,11.1,5.406593406593407,10.166666666666666,4.333333333333333,1,0,1,1.3592942912725565,0.5,0.5,1.0,0.0,1,1
335983,2008-04-19,Indian Premier League,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,19,4,2008,2007/08,male,Chennai Super Kings,bat,MEK Hussey,Chennai Super Kings,33 runs,,,,2,Unknown,240,0,120,120,207.0,0.0,120.0,120.0,53,63.0,71.0,31.0,1.0,1.0,12.0,10.35,8.833333333333334,10.5,1,1,0,1.3291797725623034,0.5,0.5,1.0,0.0,1,1
335984,2008-04-19,Indian Premier League,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi,19,4,2008,2007/08,male,Rajasthan Royals,bat,MF Maharoof,Delhi Daredevils,9 wickets,,,,3,Unknown,129,0,120,120,132.0,0.0,91.0,91.0,40,55.0,23.0,0.0,2.0,1.0,6.45,8.703296703296704,6.666666666666667,9.166666666666666,0,1,0,1.3205017921146953,0.5,0.5,0.0,1.0,1,1
335985,2008-04-20,Indian Premier League,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,20,4,2008,2007/08,male,Mumbai Indians,bat,MV Boucher,Royal Challengers Bangalore,5 wickets,,,,5,Unknown,165,0,120,120,166.0,0.0,118.0,118.0,47,40.0,47.0,40.0,3.0,1.0,8.25,8.440677966101694,7.833333333333333,6.666666666666667,0,1,0,1.3306236143482462,0.5,0.5,0.0,0.5,1,2
335986,2008-04-20,Indian Premier League,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,20,4,2008,2007/08,male,Deccan Chargers,bat,DJ Hussey,Kolkata Knight Riders,5 wickets,,,,4,Unknown,110,0,112,112,112.0,0.0,114.0,114.0,39,26.0,28.0,25.0,2.0,3.0,5.892857142857142,5.894736842105263,6.5,4.333333333333333,0,1,0,1.3152101400933955,0.5,0.1,0.0,1.0,1,2
335987,2008-04-21,Indian Premier League,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,21,4,2008,2007/08,male,Kings XI Punjab,bat,SR Watson,Rajasthan Royals,6 wickets,,,,6,Unknown,166,0,119,119,168.0,0.0,109.0,109.0,54,53.0,38.0,16.0,1.0,3.0,8.369747899159664,9.247706422018348,9.0,8.833333333333334,0,1,0,1.2792825112107624,0.5,0.5,0.0,0.5,2,2
335988,2008-04-22,Indian Premier League,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,22,4,2008,2007/08,male,Deccan Chargers,bat,V Sehwag,Delhi Daredevils,9 wickets,,,,7,Unknown,142,0,120,120,143.0,0.0,78.0,78.0,25,48.0,60.0,0.0,2.0,1.0,7.1,11.0,4.166666666666667,8.0,0,1,0,1.2830058600482592,0.5,0.1,0.0,1.0,2,2
335989,2008-04-23,Indian Premier League,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,23,4,2008,2007/08,male,Mumbai Indians,field,ML Hayden,Chennai Super Kings,6 runs,,,,8,Unknown,208,0,120,120,202.0,0.0,120.0,120.0,53,52.0,50.0,55.0,2.0,2.0,10.4,10.1,8.833333333333334,8.666666666666666,1,0,1,1.2990646258503402,0.1,0.5,1.0,0.0,2,2
335990,2008-04-24,Indian Premier League,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,24,4,2008,2007/08,male,Rajasthan Royals,field,YK Pathan,Rajasthan Royals,3 wickets,,,,9,Unknown,214,0,120,120,217.0,0.0,119.0,119.0,58,73.0,54.0,41.0,2.0,1.0,10.7,10.941176470588236,9.666666666666666,12.166666666666666,0,0,1,1.2830058600482592,0.5,0.1,0.0,0.6666666666666666,3,3
335991,2008-04-25,Indian Premier League,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,25,4,2008,2007/08,male,Mumbai Indians,field,KC Sangakkara,Kings XI Punjab,66 runs,,,,10,Unknown,182,0,120,120,116.0,0.0,120.0,120.0,60,39.0,36.0,11.0,1.0,2.0,9.1,5.8,10.0,6.5,1,0,1,1.3291797725623034,0.5,0.5,0.3333333333333333,0.0,3,3
